delivery_person_age,delivery_person_ratings,order_type_category,multiple_deliveries,total_distance,weather_category,road_traffic_category,vechicle_type_category,vehicle_condition,festival_bool,city_category,day_of_week,week_or_weekend,valley_or_peak,wt_minutes,time_taken_min
33.0,4.6,3,1.0,3.0186664615809233,4,0,2,1,0,2,1,0,0,10.0,19
34.0,4.7,3,1.0,3.1051492022356912,1,0,0,2,0,2,1,0,0,15.0,28
27.0,4.9,1,1.0,3.0188287392958797,2,0,1,2,0,1,1,0,0,15.0,15
33.0,4.8,0,1.0,1.5125997004953078,5,0,1,2,0,1,1,0,0,10.0,10
37.0,5.0,0,0.0,3.1162271889327564,0,0,2,2,0,2,1,0,0,5.0,26
26.0,4.4,2,1.0,1.5367491020546065,1,0,2,0,0,2,1,0,0,15.0,28
39.0,4.7,3,1.0,1.5321912089066665,0,0,1,2,0,2,1,0,0,5.0,20
32.0,4.7,1,1.0,1.558088668367652,2,0,1,2,0,2,1,0,0,15.0,29
32.0,4.2,3,1.0,3.104786649429477,2,0,2,0,0,2,1,0,0,5.0,24
38.0,4.6,0,1.0,3.1050997264138243,4,0,1,2,0,2,1,0,0,10.0,18
21.0,4.7,2,0.0,1.5525631276149987,0,0,2,1,0,2,1,0,0,10.0,12
23.0,4.6,2,0.0,3.025325269683585,1,0,2,1,0,1,1,0,0,15.0,13
26.0,4.9,1,0.0,1.5522351845661642,1,0,1,2,0,1,1,0,0,5.0,16
36.0,4.9,1,0.0,3.1045761547624795,5,0,2,0,0,2,1,0,0,15.0,20
34.0,4.9,0,0.0,1.5127161749201183,4,0,2,2,0,2,1,0,0,10.0,19
20.0,4.5,2,0.0,1.5322313051401912,4,0,2,0,0,1,1,0,0,10.0,24
26.0,4.5,2,1.0,1.552784274342293,3,0,2,1,0,2,1,0,0,15.0,17
29.0,4.5,0,0.0,1.5204577897266334,0,0,1,1,0,2,1,0,0,15.0,16
28.0,4.8,3,1.0,3.073648273221347,3,0,2,0,0,2,1,0,0,15.0,23
36.0,4.8,2,1.0,2.979800001001054,3,0,2,0,0,1,1,0,0,10.0,20
29.0,4.4,1,0.0,1.5522954902850317,0,0,2,0,0,1,1,0,0,5.0,15
20.0,5.0,0,1.0,3.1048035267183245,3,0,2,1,0,2,1,0,0,15.0,18
25.0,4.7,1,1.0,1.489847291172819,1,0,2,2,0,1,1,0,0,5.0,11
33.0,4.5,0,1.0,3.1450717787737443,0,0,1,2,0,2,1,0,0,10.0,28
21.0,4.9,0,0.0,1.5321284008223666,5,0,2,2,0,1,1,0,0,15.0,20
26.0,4.7,3,0.0,1.5525901263205717,5,0,1,1,0,1,1,0,0,10.0,19
21.0,4.6,0,1.0,1.5094404005243518,3,0,0,2,0,2,1,0,0,10.0,11
36.0,4.9,1,1.0,3.064271303614082,4,0,0,2,0,2,1,0,0,10.0,15
25.0,4.2,1,0.0,1.5322785859898411,0,0,2,0,0,1,1,0,0,5.0,20
21.0,4.8,3,1.0,1.5203703291314477,0,0,1,2,0,2,1,0,0,15.0,16
35.0,4.9,2,1.0,1.5526995885702923,4,0,2,0,0,2,1,0,0,5.0,20
20.0,5.0,3,0.0,3.1053365626644696,1,0,1,2,0,1,1,0,0,15.0,18
30.0,4.3,0,0.0,1.536793892188195,2,0,2,0,0,1,1,0,0,15.0,22
21.0,4.9,3,1.0,1.4901760148089496,2,0,1,1,0,2,1,0,0,10.0,19
30.0,4.8,1,1.0,3.0636428113900567,3,0,2,0,0,2,1,0,0,15.0,26
20.0,4.7,0,0.0,1.5725359013624185,2,0,1,1,0,2,1,0,0,5.0,19
36.0,5.0,0,0.0,3.0251026626685644,2,0,1,1,0,2,1,0,0,15.0,25
35.0,4.9,2,1.0,1.5130755456755947,4,0,2,0,0,2,1,0,0,5.0,25
38.0,4.7,0,0.0,1.5202967822552513,4,0,2,0,0,2,1,0,0,10.0,28
24.0,4.9,0,0.0,1.5321569153788221,2,0,2,2,0,2,1,0,0,15.0,18
38.0,4.2,0,0.0,3.1091296303467786,2,0,2,0,0,2,1,0,0,15.0,32
28.0,4.9,3,0.0,1.5525823038362423,0,0,1,2,0,2,1,0,0,10.0,11
34.0,4.0,3,1.0,3.105489595760491,1,0,2,0,0,2,1,0,0,15.0,29
28.0,4.5,0,1.0,1.5581344177408138,4,0,2,0,0,2,1,0,0,10.0,20
33.0,4.8,2,1.0,3.064538890662912,5,0,1,1,0,1,1,0,0,5.0,17
20.0,4.7,1,1.0,1.5369161124839876,5,0,2,0,0,2,1,0,0,5.0,13
27.0,4.9,3,1.0,3.10509581163613,3,0,0,2,0,2,1,0,0,15.0,18
30.0,4.5,3,0.0,3.04069283399358,1,0,1,2,0,2,1,0,0,15.0,23
24.0,4.6,0,1.0,3.116153238010856,0,0,2,1,0,2,1,0,0,10.0,19
29.0,4.7,3,1.0,3.0644900135240944,4,0,1,1,0,2,1,0,0,10.0,14
22.0,4.7,3,0.0,3.059464302740348,5,0,1,1,0,2,1,0,0,5.0,19
35.0,4.9,1,1.0,3.0589548673356375,1,0,1,1,0,2,1,0,0,10.0,25
27.0,4.9,0,1.0,1.5095776893813329,2,0,1,2,0,1,1,0,0,10.0,15
21.0,5.0,1,1.0,3.105080473421362,2,0,1,2,0,1,1,0,0,15.0,11
31.0,4.9,2,1.0,1.5094696693326062,0,0,2,1,0,2,1,0,0,15.0,21
35.0,4.9,3,0.0,2.9797545101793843,5,0,1,1,0,2,1,0,0,5.0,12
22.0,4.8,2,0.0,3.0736922271899147,1,0,1,2,0,2,1,0,0,15.0,19
21.0,4.4,1,0.0,1.5525591287834934,1,0,2,0,0,1,1,0,0,5.0,22
20.0,4.7,1,1.0,1.5126880648766015,4,0,1,1,0,2,1,0,0,15.0,10
35.0,5.0,3,1.0,2.979414227359262,1,0,2,2,0,2,1,0,0,10.0,25
22.0,4.7,3,0.0,1.5203509928218242,5,0,2,2,0,1,1,0,0,15.0,18
24.0,4.8,1,0.0,3.0405744569721804,4,0,1,2,0,2,1,0,0,10.0,14
21.0,5.0,3,1.0,3.1089879891236145,5,0,1,1,0,2,1,0,0,15.0,24
31.0,4.4,3,1.0,3.0736227138774326,1,0,2,0,0,2,1,0,0,10.0,26
29.0,4.7,1,1.0,3.0408677914454456,1,0,0,2,0,2,1,0,0,10.0,12
20.0,4.6,3,0.0,1.5725359013624185,4,0,1,2,0,1,1,0,0,5.0,13
34.0,4.6,0,0.0,3.025157545406537,1,0,2,2,0,2,1,0,0,5.0,21
24.0,4.1,3,1.0,1.5545792728907766,0,0,2,0,0,1,1,0,0,5.0,28
37.0,5.0,0,1.0,1.5523204319032489,5,0,1,2,0,1,1,0,0,5.0,13
23.0,4.9,3,0.0,1.536830668000724,1,0,2,2,0,2,1,0,0,5.0,19
27.0,4.9,3,0.0,1.5322037106927313,5,0,2,0,0,2,1,0,0,15.0,17
25.0,4.5,2,0.0,3.0736039853055246,0,0,1,2,0,2,1,0,0,15.0,15
20.0,4.9,3,0.0,3.0188872875414514,2,0,1,1,0,1,1,0,0,15.0,10
38.0,4.7,3,1.0,3.10553826843121,1,0,1,2,0,2,1,0,0,10.0,29
27.0,4.8,2,0.0,1.509448743577035,4,0,2,0,0,2,1,0,0,10.0,17
26.0,5.0,1,0.0,3.040793598922593,5,0,0,2,0,2,1,0,0,5.0,16
25.0,4.0,1,1.0,3.02610037772109,1,0,2,0,0,2,1,0,0,10.0,19
25.0,4.6,0,0.0,1.5297456245545946,1,0,1,2,0,2,1,0,0,10.0,17
39.0,4.8,1,0.0,3.064514704356855,5,0,2,1,0,2,1,0,0,15.0,10
39.0,4.6,2,0.0,1.554468107723355,2,0,1,1,0,1,1,0,0,5.0,26
21.0,4.8,3,0.0,1.4898479419811146,5,0,2,0,0,2,1,0,0,5.0,16
30.0,4.7,0,0.0,3.058555719992573,5,0,1,2,0,2,1,0,0,15.0,13
26.0,4.6,0,1.0,1.5545042314837412,4,0,1,2,0,2,1,0,0,15.0,17
21.0,4.6,1,0.0,1.5297539915627936,1,0,2,2,0,1,1,0,0,5.0,16
35.0,4.2,3,0.0,3.064681095281067,1,0,2,0,0,1,1,0,0,10.0,22
36.0,4.6,1,1.0,1.5093865779959272,4,0,2,0,0,2,1,0,0,5.0,22
28.0,4.9,3,1.0,3.0736818319156,5,0,2,1,0,2,1,0,0,5.0,23
32.0,4.8,0,0.0,1.5298789045105683,5,0,2,0,0,2,1,0,0,15.0,22
